id,name,now_cost,position,team,total_points,expected_goals_conceded_per_90,expected_goals_conceded,form,team_join_date,transfers_in,goals_conceded,saves_per_90,minutes,now_cost_rank_type,value_season,mng_underdog_draw,goals_conceded_per_90,penalties_missed,creativity,selected_rank,ict_index_rank_type,transfers_out_event,mng_clean_sheets,birth_date,starts,mng_goals_scored,penalties_saved,expected_goals,expected_assists_per_90,creativity_rank,mng_win,news_added,saves,clean_sheets,own_goals,bonus,chance_of_playing_next_round,ep_this,points_per_game_rank_type,ict_index,transfers_out,opta_code,direct_freekicks_order,clean_sheets_per_90,can_select,selected_by_percent,mng_underdog_win,corners_and_indirect_freekicks_order,cost_change_start_fall,dreamteam_count,points_per_game_rank,assists,expected_goal_involvements,event_points,points_per_game,yellow_cards,cost_change_event_fall,mng_draw,starts_per_90,threat_rank,cost_change_event,bps,selected_rank_type,influence_rank,penalties_order,in_dreamteam,red_cards,region,threat_rank_type,cost_change_start,value_form,chance_of_playing_this_round,form_rank,transfers_in_event,influence,web_name,news,mng_loss,creativity_rank_type,expected_goals_per_90,now_cost_rank,form_rank_type,ict_index_rank,influence_rank_type,ep_next,goals_scored,expected_goal_involvements_per_90,expected_assists,status,threat
1,Fábio Ferreira Vieira,54,MID,Arsenal,0,0.0,0.00,0.0,,439,0,0.0,0,82,0.0,0,0.0,0,0.0,713,341,0,0,,0,0,0,0.00,0.0,791,0,2024-08-29T11:06:25.241953Z,0,0,0,0,0.0,0.0,341,0.0,2825,p438098,,0.0,False,0.0,0,,1,0,790,0,0.00,0,0.0,0,0,0,0.0,788,0,0,294,791,,False,0,,340,-1,0.0,0.0,774,0,0.0,Fábio Vieira,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0,341,0.0,133,332,791,341,0.0,0,0.0,0.00,u,0.0
2,Gabriel Fernando de Jesus,65,FWD,Arsenal,42,0.87,5.82,0.0,2022-07-04,1238189,5,0.0,600,20,6.5,0,0.75,0,119.5,203,32,43,0,1997-04-03,6,0,0,3.05,0.08,263,0,2025-01-12T22:00:07.802845Z,0,2,0,6,0.0,0.0,26,52.6,1409397,p205651,,0.3,True,1.0,0,,5,2,217,2,3.57,0,2.5,4,0,0,0.9,126,0,152,31,340,,False,0,30.0,32,-5,0.0,0.0,794,12,154.4,G.Jesus,Knee injury - Expected back 01 Jun,0,31,0.46,43,84,276,32,0.0,3,0.54,0.52,i,255.0
3,Gabriel dos Santos Magalhães,62,DEF,Arsenal,117,0.88,23.09,0.0,2020-09-01,5092906,22,0.0,2363,5,18.9,0,0.84,0,208.8,33,28,2165,0,1997-12-19,28,0,0,2.70,0.05,193,0,2025-04-01T22:00:07.982867Z,0,10,0,9,0.0,0.0,2,108.2,5398385,p226597,,0.38,True,12.4,0,,-2,2,35,2,3.91,0,4.2,4,0,0,1.07,110,0,459,12,80,,False,0,30.0,9,2,0.0,0.0,791,23,584.6,Gabriel,Hamstring injury - Expected back 01 Jun,0,43,0.1,61,263,120,30,0.0,3,0.15,1.21,i,287.0
4,Kai Havertz,77,FWD,Arsenal,96,0.93,19.00,0.0,2023-06-28,2589815,20,0.0,1839,4,12.5,0,0.98,0,257.0,66,16,138,0,1999-06-11,21,0,0,9.39,0.08,157,0,2025-02-12T09:00:08.755570Z,0,7,0,14,25.0,0.0,8,142.6,3526422,p219847,,0.34,True,5.7,0,,3,1,20,3,11.02,0,4.6,4,0,0,1.03,34,0,340,12,144,3.0,False,0,80.0,15,-3,0.0,25.0,798,22,467.2,Havertz,Hamstring injury - 25% chance of playing,0,17,0.46,14,87,75,16,0.1,9,0.54,1.63,d,701.0
5,Karl Hein,40,GKP,Arsenal,0,0.0,0.00,0.0,,0,0,0.0,0,54,0.0,0,0.0,0,0.0,642,68,1,0,,0,0,0,0.00,0.0,594,0,2024-08-14T08:31:46.556082Z,0,0,0,0,0.0,0.0,68,0.0,4620,p463748,,0.0,False,0.0,0,,0,0,615,0,0.00,0,0.0,0,0,0,0.0,555,0,0,71,607,,False,0,,38,0,0.0,0.0,489,0,0.0,Hein,Loaned to Real Valladolid,0,57,0.0,668,59,607,68,0.0,0,0.0,0.00,u,0.0
6,Jurriën Timber,56,DEF,Arsenal,114,0.79,21.09,1.0,2023-07-14,1957814,21,0.0,2415,11,20.4,0,0.78,0,296.8,64,40,1747,0,2001-06-17,27,0,0,1.23,0.05,136,0,2025-05-04T12:00:07.787916Z,0,11,0,9,100.0,1.0,11,94.2,1465688,p445122,,0.41,True,5.8,0,,-1,2,67,3,2.53,0,3.8,7,0,0,1.01,127,0,426,21,176,,False,0,152.0,14,1,0.2,100.0,292,1126,393.0,J.Timber,,0,28,0.05,104,86,149,66,1.5,1,0.1,1.30,a,254.0
7,Jorge Luiz Frello Filho,46,MID,Arsenal,19,0.75,5.83,0.4,2023-01-31,30801,7,0.0,700,226,4.1,0,0.9,0,88.8,360,199,7,0,1991-12-20,9,0,0,0.06,0.08,301,0,2025-04-12T20:00:08.048837Z,0,2,0,0,100.0,0.4,188,14.2,50488,p85955,,0.26,True,0.2,0,,4,0,403,0,0.65,0,1.4,5,0,0,1.16,436,0,109,113,435,,False,0,106.0,224,-4,0.1,100.0,370,5,44.6,Jorginho,,0,180,0.01,347,175,413,199,0.9,0,0.09,0.59,a,8.0
8,Jakub Kiwior,48,DEF,Arsenal,33,1.03,9.66,3.2,2023-01-23,312214,12,0.0,847,39,6.9,0,1.28,0,59.5,138,120,266,0,2000-02-15,7,0,0,0.17,0.02,342,0,,0,2,0,0,,3.2,71,27.6,104083,p440854,,0.21,True,2.1,0,,2,1,226,0,0.40,0,2.4,0,0,0,0.74,366,0,131,52,304,,False,0,172.0,121,-2,0.7,,94,664,186.2,Kiwior,,0,111,0.02,311,26,359,113,3.7,1,0.04,0.23,a,30.0
9,Gabriel Martinelli Silva,65,MID,Arsenal,113,0.94,21.17,2.8,2019-07-15,1281482,22,0.0,2034,23,17.4,0,0.97,0,540.3,123,27,466,0,2001-06-18,22,0,0,5.87,0.18,62,0,2025-02-06T00:00:08.092348Z,0,9,0,6,100.0,2.8,32,184.6,1365577,p444145,,0.4,True,2.5,0,,5,1,70,4,10.02,0,3.8,1,0,0,0.97,21,0,381,40,132,,False,0,30.0,11,-5,0.4,100.0,130,648,498.6,Martinelli,,0,50,0.26,45,59,36,48,3.3,7,0.44,4.15,a,806.0
12,Ethan Nwaneri,43,MID,Arsenal,64,0.53,4.75,2.2,2022-09-17,724370,3,0.0,808,343,14.9,0,0.33,0,232.5,157,104,834,0,2007-03-21,10,0,0,1.15,0.18,173,0,2025-01-04T22:00:06.872110Z,0,4,0,4,100.0,2.2,78,74.0,576165,p499175,,0.45,True,1.6,0,,2,0,190,2,2.80,0,2.6,1,1,0,1.11,144,-1,234,52,242,,False,0,241.0,92,-2,0.5,100.0,155,365,278.2,Nwaneri,,0,119,0.13,591,67,200,108,2.7,4,0.31,1.65,a,230.0
13,Martin Ødegaard,82,MID,Arsenal,98,0.76,17.96,3.8,2021-08-20,1148160,19,0.0,2126,9,12.0,0,0.8,0,880.2,72,31,607,0,1998-12-17,24,0,0,4.60,0.27,11,0,2024-09-10T00:30:06.311550Z,0,10,0,10,100.0,3.8,41,178.7,2230643,p184029,1.0,0.42,True,5.0,0,3.0,3,0,88,7,11.05,0,3.6,4,0,0,1.02,66,0,456,22,152,2.0,False,0,161.0,42,-3,0.5,100.0,72,725,453.0,Ødegaard,,0,10,0.19,12,32,41,58,4.3,2,0.46,6.45,a,452.0
15,David Raya Martin,55,GKP,Arsenal,131,0.86,29.98,2.0,2024-07-04,3916131,31,2.2,3150,2,23.8,0,0.89,0,0.7,7,13,2683,0,1995-09-15,35,0,0,0.00,0.0,498,0,2025-01-30T11:00:08.979724Z,77,12,0,9,100.0,2.0,14,68.9,3459643,p154561,,0.34,True,30.7,0,,0,2,78,0,0.02,0,3.7,2,1,0,1.0,792,-1,514,1,51,,False,0,200.0,82,0,0.4,100.0,187,1418,687.6,Raya,,0,19,0.0,108,15,221,13,2.5,0,0.0,0.02,a,0.0
